n_inputs,input_slugs,n_notebooks_used,notebooks_used,n_datasets_used,datasets_used,n_models_used,models_used,competitions_used,slug,ref
6,birdclef2026-clap-probe|birdclef2026-sed-v5-trio|competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,4,jaejohn/perch-meta|needless090/birdclef2026-clap-probe|needless090/birdclef2026-sed-v5-trio|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,haru0707__bc26-public-top2-p125-submit,haru0707/bc26-public-top2-p125-submit
2,competitions|models,0,,0,,1,google/bird-vocalization-classifier,birdclef-2026,hassemees__b-first-own-baseline-with-perch,hassemees/b-first-own-baseline-with-perch
4,competitions|datasets|models|notebooks,1,kdmitrie/bc26-tensorflow-2-20-0,1,hassemees/fine-tuned-weights,1,google/bird-vocalization-classifier,birdclef-2026,hassemees__i-baseline-inference-broken-numpy,hassemees/i-baseline-inference-broken-numpy
2,competitions|datasets,0,,2,hengck23/hengck23-birdclef-2026-00|hengck23/hengck23-birdclef-2026-01,0,,birdclef-2026,hengck23__onnx-distill-prechv2-stop-lse-4fold,hengck23/onnx-distill-prechv2-stop-lse-4fold
2,competitions|datasets,0,,4,hengck23/hengck23-birdclef-2026-00|hengck23/hengck23-birdclef-2026-01|hengck23/hengck23-onnx-perchv2|lixin73/birdclef2026-v27-onnx-perch-meta-forum-v1-lb872,0,,birdclef-2026,hengck23__perch2-onnx-direct-lse-256-4fold,hengck23/perch2-onnx-direct-lse-256-4fold
2,competitions|datasets,0,,1,hengck23/pytorch-perchv2,0,,birdclef-2026,hengck23__pytorch-differentiable-perchv2,hengck23/pytorch-differentiable-perchv2
4,competitions|datasets|models|notebooks,2,raunakdey07/offline-training-efficientnet-b0-focal-recording|vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,2,google/bird-vocalization-classifier|shadiakiki1/birdnet-analyzer,birdclef-2026,henryszy__bc2026-birdnet-3way-v65,henryszy/bc2026-birdnet-3way-v65
8,bc2026-distilled-sed|bc2026-distilled-sed-public|birdclef-2026|competitions|datasets|models|notebooks|perch-meta,2,ashok205/tf-wheels|vyankteshdwivedi/notebook1b25083f0d,6,hideyukizushi/sgkfk-202604041716|jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|tuckerarrants/bc2026-distilled-sed-public|tuckerarrants/birdclef-2026-waveform-cache|tuckerarrants/perch-v2-no-dft-onnx,1,google/bird-vocalization-classifier,birdclef-2026,henryszy__bc2026-ensemble-solutions-v66,henryszy/bc2026-ensemble-solutions-v66
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,henryszy__bc2026-hgnetv2-task235-v64,henryszy/bc2026-hgnetv2-task235-v64
2,competitions|models,0,,0,,1,google/bird-vocalization-classifier,birdclef-2026,henryszy__bc2026-mtoshidesu-0932-v4,henryszy/bc2026-mtoshidesu-0932-v4
6,bc2026-distilled-sed-public|competitions|datasets|models|notebooks|perch-meta,1,vyankteshdwivedi/notebook1b25083f0d,3,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|tuckerarrants/bc2026-distilled-sed-public,1,google/bird-vocalization-classifier,birdclef-2026,henryszy__bc2026-mtoshidesu-robust-v61,henryszy/bc2026-mtoshidesu-robust-v61
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,henryszy__bc2026-raunak0946-ce-v65,henryszy/bc2026-raunak0946-ce-v65
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,henryszy__bc2026-raunak0946-clap-v53,henryszy/bc2026-raunak0946-clap-v53
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,henryszy__bc2026-raunak0946-direct-v44,henryszy/bc2026-raunak0946-direct-v44
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,henryszy__bc2026-raunak0946-noclap-v60,henryszy/bc2026-raunak0946-noclap-v60
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,henryszy__bc2026-raunak0946-onlinepseudo-v50,henryszy/bc2026-raunak0946-onlinepseudo-v50
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,henryszy__bc2026-raunak0946-onlinepseudo-v51,henryszy/bc2026-raunak0946-onlinepseudo-v51
6,bc2026-distilled-sed-public|competitions|datasets|models|notebooks|perch-meta,1,vyankteshdwivedi/notebook1b25083f0d,3,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|tuckerarrants/bc2026-distilled-sed-public,1,google/bird-vocalization-classifier,birdclef-2026,henryszy__bc2026-robust-cv9245-rank05-v36,henryszy/bc2026-robust-cv9245-rank05-v36
6,bc2026-distilled-sed-public|competitions|datasets|models|notebooks|perch-meta,1,vyankteshdwivedi/notebook1b25083f0d,3,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|tuckerarrants/bc2026-distilled-sed-public,1,google/bird-vocalization-classifier,birdclef-2026,henryszy__bc2026-robust-ppens-v25,henryszy/bc2026-robust-ppens-v25
6,bc2026-distilled-sed-public|competitions|datasets|models|notebooks|perch-meta,1,vyankteshdwivedi/notebook1b25083f0d,3,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|tuckerarrants/bc2026-distilled-sed-public,1,google/bird-vocalization-classifier,birdclef-2026,henryszy__bc2026-robust-rare090-v40,henryszy/bc2026-robust-rare090-v40
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,henryszy__bc2026-safar0946-v63,henryszy/bc2026-safar0946-v63
11,bc26-build-final-proto-bank-fixed302-v1|bc26-tensorflow-2-20-0|birdclef-2026|birdclef-2026-build-final-proto-bank|birdclef-2026-build-soundscape-pseudo-bank|competitions|datasets|models|notebooks|perch-meta|perch-meta-0-943,6,ashok205/tf-wheels|atahalam/perch-meta-0-943|kdmitrie/bc26-tensorflow-2-20-0|troyxxf/bc26-build-final-proto-bank-fixed302-v1|troyxxf/birdclef-2026-build-final-proto-bank|troyxxf/birdclef-2026-build-soundscape-pseudo-bank,2,atahalam/perch-meta-0-943|yuriygreben/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,henryszy__bc2026-troyxxf-negdelta-v60,henryszy/bc2026-troyxxf-negdelta-v60
6,bc2026-distilled-sed-public|competitions|datasets|models|notebooks|perch-meta,1,vyankteshdwivedi/notebook1b25083f0d,3,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|tuckerarrants/bc2026-distilled-sed-public,1,google/bird-vocalization-classifier,birdclef-2026,henryszy__bc2026-yaroslav-robust-v62,henryszy/bc2026-yaroslav-robust-v62
4,competitions|models|notebooks|perch-meta,1,ashok205/tf-wheels,0,,1,google/bird-vocalization-classifier,birdclef-2026,hideyukizushi__bird26-reprod-perch-proto-residualssm-train-s7177,hideyukizushi/bird26-reprod-perch-proto-residualssm-train-s7177
5,competitions|datasets|models|notebooks|perch-meta,1,ashok205/tf-wheels,2,hideyukizushi/sgkfk-202604041716|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,hideyukizushi__bird26-reproduce-perch-protossm-resssm-inf-train,hideyukizushi/bird26-reproduce-perch-protossm-resssm-inf-train
1,competitions,0,,0,,0,,birdclef-2026,huydo170302__dsai1-internship-birdclef-2026,huydo170302/dsai1-internship-birdclef-2026
1,competitions,0,,0,,0,,birdclef-2026,ibrahimqasimi__birdclef-26-acoustic-species-identification-eda,ibrahimqasimi/birdclef-26-acoustic-species-identification-eda
3,competitions|models|notebooks,1,kdmitrie/bc26-tensorflow-2-20-0,0,,1,google/bird-vocalization-classifier,birdclef-2026,igormerlinicomposer__cbc26,igormerlinicomposer/cbc26
2,competitions|models,0,,0,,1,ikkimasuta/20260511-baseline,birdclef-2026,ikkimasuta__basenote2-birdclef2026-for-winc,ikkimasuta/basenote2-birdclef2026-for-winc
0,,0,,0,,0,,,ilanbacry__birdclef-2026-complete-eda,ilanbacry/birdclef-2026-complete-eda
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,imaadmahmood__birdclef-2026-perch-v2-protossm-0-925,imaadmahmood/birdclef-2026-perch-v2-protossm-0-925
1,competitions,0,,0,,0,,birdclef-2026,indahnuruljanah__notebook-pretrained-effb2,indahnuruljanah/notebook-pretrained-effb2
0,,0,,0,,0,,,indrapurwanto01__medanjawa,indrapurwanto01/medanjawa
1,competitions,0,,0,,0,,birdclef-2026,ivarvb__notebook01,ivarvb/notebook01
13,birdclef-2026|birdclef-plus-2026|birdclefplus-2026|competitions|datasets|models|notebooks|perch-meta|perch-v2-cpu|perch_v2_cpu|tensorflow-2-20-wheels|tf-wheels|tf220-wheels,1,ashok205/tf-wheels,1,jackcerion/direction-one,1,google/bird-vocalization-classifier,birdclef-2026,jackcerion__bird-infer-dir-one,jackcerion/bird-infer-dir-one
1,competitions,0,,0,,0,,birdclef-2026,jacqueszhelinzhang__birdclef26-onnx,jacqueszhelinzhang/birdclef26-onnx
2,competitions|models,0,,0,,1,google/bird-vocalization-classifier,birdclef-2026,jacqueszhelinzhang__birdclef26-perch-clean,jacqueszhelinzhang/birdclef26-perch-clean
3,competitions|models|notebooks,1,kdmitrie/bc26-tensorflow-2-20-0,0,,1,google/bird-vocalization-classifier,birdclef-2026,jacqueszhelinzhang__birdclef26-perch-fixed,jacqueszhelinzhang/birdclef26-perch-fixed
4,competitions|datasets|models|notebooks,1,kdmitrie/bc26-tensorflow-2-20-0,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,jaejohn__perch-v2-starter-train-infer,jaejohn/perch-v2-starter-train-infer
2,competitions|models,0,,0,,1,google/bird-vocalization-classifier,birdclef-2026,jahnavikachhia23__birdclef-2026,jahnavikachhia23/birdclef-2026
3,competitions|models|notebooks,2,antoinemasq/birdclef-2026-pytorch-baseline-training|kdmitrie/bc26-tensorflow-2-20-0,0,,1,google/bird-vocalization-classifier,birdclef-2026,jaydenszeto123__birdclef2026-v2,jaydenszeto123/birdclef2026-v2
2,competitions|models,0,,0,,1,jek1wantaufik/buddy,birdclef-2026,jek1wantaufik__bird-2026,jek1wantaufik/bird-2026
1,competitions,0,,0,,0,,birdclef-2026,jguevarag__01-eda,jguevarag/01-eda
1,competitions,0,,0,,0,,birdclef-2026,jguevarag__02-preprocessing,jguevarag/02-preprocessing
2,birdclef-2026|competitions,0,,0,,0,,birdclef-2026,jguevarag__04-cnn-efficientnet-training,jguevarag/04-cnn-efficientnet-training
2,birdclef-2026|competitions,0,,0,,0,,birdclef-2026,jguevarag__05-kaggle-inference-submission,jguevarag/05-kaggle-inference-submission
1,competitions,0,,0,,0,,birdclef-2026,jguevarag__birdclef-first-steps,jguevarag/birdclef-first-steps
3,birdclef-2026|birdclef-2026-dataset|competitions,0,,0,,0,,birdclef-2026,jieuna1__birdclef-2026-exploration-preprocessing-resampling,jieuna1/birdclef-2026-exploration-preprocessing-resampling
1,competitions,0,,0,,0,,birdclef-2026,jirkaborovec__bird-clef-random-predictions,jirkaborovec/bird-clef-random-predictions
1,competitions,0,,0,,0,,birdclef-2026,jirkaborovec__bird-clef-statistically-weighted-predictions,jirkaborovec/bird-clef-statistically-weighted-predictions
1,competitions,0,,0,,0,,birdclef-2026,jirkaborovec__bird-clef-train-timm-pytorch-onnx-inference,jirkaborovec/bird-clef-train-timm-pytorch-onnx-inference
4,competitions|models|notebooks|perch-meta,1,ashok205/tf-wheels,0,,1,google/bird-vocalization-classifier,birdclef-2026,jiweiliu__birdclef-2026-acoustic-species-id-fork,jiweiliu/birdclef-2026-acoustic-species-id-fork
1,competitions,0,,0,,0,,birdclef-2026,jiweiliu__birdclef-2026-comprehensive-eda,jiweiliu/birdclef-2026-comprehensive-eda
3,birdclef-2026|competitions|datasets,0,,1,jiweiliu/birdclef2026-eff-b0-baseline,0,,birdclef-2026,jiweiliu__birdclef-2026-efficientnet-b0-baseline,jiweiliu/birdclef-2026-efficientnet-b0-baseline
3,birdclef-2026|competitions|datasets,0,,1,jiweiliu/birdclef2026-eff-b0-baseline,0,,birdclef-2026,jiweiliu__birdclef-2026-postproc-v1,jiweiliu/birdclef-2026-postproc-v1
5,competitions|datasets|models|notebooks|perch-meta,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,jiweiliu__pantanal-distill-birdclef2026-improvement,jiweiliu/pantanal-distill-birdclef2026-improvement
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,johnjanson__agiclef-2026-v10-pro-max,johnjanson/agiclef-2026-v10-pro-max
1,competitions,0,,0,,0,,playground-series-s6e3,johnkihoro__churn-eda-and-prediction-with-pyspark,johnkihoro/churn-eda-and-prediction-with-pyspark
2,birdclef-2026|datasets,0,,1,juanpp11/dataset1,0,,,juanpp11__birdclef2026,juanpp11/birdclef2026
2,competitions|datasets,0,,1,juanpp11/dataset1,0,,birdclef-2026,juanpp11__birdclef2026-seguda-parte,juanpp11/birdclef2026-seguda-parte
2,competitions|datasets,0,,1,juanpp11/preprocessing-data,0,,birdclef-2026,juanpp11__train-del-dataset,juanpp11/train-del-dataset
2,competitions|models,0,,0,,1,juliustegar/baseline-2026-pth,birdclef-2026,juliustegar__birdclef-2026-inference,juliustegar/birdclef-2026-inference
2,competitions|models,0,,0,,1,juliustegar/efficientnet-b3,birdclef-2026,juliustegar__birdclef-2026-inference-efficientnetb3,juliustegar/birdclef-2026-inference-efficientnetb3
2,competitions|notebooks,1,juliustegar/resnet34-weights,0,,0,,birdclef-2026,juliustegar__birdclef-2026-training-baseline,juliustegar/birdclef-2026-training-baseline
2,competitions|notebooks,1,juliustegar/efficientnet-b3-weights,0,,0,,birdclef-2026,juliustegar__birdclef-2026-training-baseline-efficientnetb3,juliustegar/birdclef-2026-training-baseline-efficientnetb3
1,competitions,0,,0,,0,,birdclef-2026,junaid512__birdclef-2026,junaid512/birdclef-2026
1,competitions,0,,0,,0,,birdclef-2026,junaid512__birdclef-2026-eda,junaid512/birdclef-2026-eda
3,competitions|datasets|models,0,,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,junaid512__birdclef-2026-pipeline,junaid512/birdclef-2026-pipeline
5,birdclef-2026|competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,2,google/bird-vocalization-classifier|shadiakiki1/birdnet-analyzer,birdclef-2026,jungchanryu__birdclef-first,jungchanryu/birdclef-first
4,competitions|datasets|models|notebooks,1,kdmitrie/bc26-tensorflow-2-20-0,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,junipersky__birdclef-2026-lgbm-combo,junipersky/birdclef-2026-lgbm-combo
4,competitions|datasets|models|notebooks,1,kdmitrie/bc26-tensorflow-2-20-0,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,junipersky__birdclef-2026-perch-lightgbm-probe-v1,junipersky/birdclef-2026-perch-lightgbm-probe-v1
1,competitions,0,,0,,0,,birdclef-2026,kacchanwriting__birdclef-2026-eda-v1,kacchanwriting/birdclef-2026-eda-v1
1,competitions,0,,0,,0,,birdclef-2026,kacchanwriting__birdclef-2026-eda-v2,kacchanwriting/birdclef-2026-eda-v2
3,birdclef-2026|birdclef-2026-dataset|competitions,0,,0,,0,,birdclef-2026,kahofu__birdclef-2026-baseline,kahofu/birdclef-2026-baseline
1,datasets,0,,1,kailatha/best-mode,0,,,kailatha__birdclef-2026-inference-mobilenet-apa-aja,kailatha/birdclef-2026-inference-mobilenet-apa-aja
0,,0,,0,,0,,,kailatha__birdclef-coba-aja,kailatha/birdclef-coba-aja
2,competitions|models,0,,0,,1,tsurayao/best-model-pth,birdclef-2026,kailatha__bridcleg-2026-apa-aja,kailatha/bridcleg-2026-apa-aja
2,competitions|models,0,,0,,1,google/bird-vocalization-classifier,birdclef-2026,kailyn2359__birdclef-2026-baseline-with-perch-v2-model,kailyn2359/birdclef-2026-baseline-with-perch-v2-model
5,competitions|datasets|models|notebooks|perch-onnx-for-birdclef-2026,1,vyankteshdwivedi/notebook1b25083f0d,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,kamongi__pantanal-distill-birdclef2026,kamongi/pantanal-distill-birdclef2026
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,karnakbaevarthur__birdclef-2026-gate-fake008-f92f49,karnakbaevarthur/birdclef-2026-gate-fake008-f92f49
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,karnakbaevarthur__birdclef-2026-onnx-perch-sequence-model-e74c7c,karnakbaevarthur/birdclef-2026-onnx-perch-sequence-model-e74c7c
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,karnakbaevarthur__optimized-dual-architecture-ensemble,karnakbaevarthur/optimized-dual-architecture-ensemble
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,karnakbaevarthur__power-optimization,karnakbaevarthur/power-optimization
2,competitions|datasets,0,,2,katsaxton/birdclef-onnxruntime-wheel|katsaxton/model-8,0,,birdclef-2026,katsaxton__ctrl-alt-elite,katsaxton/ctrl-alt-elite
3,competitions|models|notebooks,1,kdmitrie/bc26-tensorflow-2-20-0,0,,1,google/bird-vocalization-classifier,birdclef-2026,kdmitrie__birdclef26-google-perch-starter,kdmitrie/birdclef26-google-perch-starter
1,competitions,0,,0,,0,,birdclef-2026,kebaka__birdclef-strategic-eda-augmentation-guid-jp-en,kebaka/birdclef-strategic-eda-augmentation-guid-jp-en
2,competitions|models,0,,0,,1,google/bird-vocalization-classifier,,kennyhu52__birdclef-2026,kennyhu52/birdclef-2026
1,competitions,0,,0,,0,,birdclef-2026,khanmunsif__birdclef-2026-decode-bird-sounds-with-ml,khanmunsif/birdclef-2026-decode-bird-sounds-with-ml
1,competitions,0,,0,,0,,birdclef-2026,kodatirevanth__birdclef-2026-eda-beginner-s-deep-dive-v2,kodatirevanth/birdclef-2026-eda-beginner-s-deep-dive-v2
1,competitions,0,,0,,0,,birdclef-2026,kodatirevanth__birdclef-2026-eda-beginner-s-deep-dive-v3,kodatirevanth/birdclef-2026-eda-beginner-s-deep-dive-v3
2,competitions|models,0,,0,,1,timm/tf-efficientnet,birdclef-2026,kodatirevanth__birdclef-2026-efficientnet-baseline-full-pipeline,kodatirevanth/birdclef-2026-efficientnet-baseline-full-pipeline
4,competitions|datasets|models|notebooks,1,kdmitrie/bc26-tensorflow-2-20-0,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,kodatirevanth__birdclef-2026-perch-v2-eda-improved-probes,kodatirevanth/birdclef-2026-perch-v2-eda-improved-probes
2,competitions|models,0,,0,,1,timm/tf-efficientnet,birdclef-2026,kodatirevanth__birdclef-2026-sed-ensemble-v2,kodatirevanth/birdclef-2026-sed-ensemble-v2
1,competitions,0,,0,,0,,birdclef-2026,kodatirevanth__birdclef-2026-self-contained-cnn-baseline,kodatirevanth/birdclef-2026-self-contained-cnn-baseline
2,competitions|datasets,0,,1,kodatirevanth/birdclef2026-efficientnet-weights,0,,birdclef-2026,kodatirevanth__birdclef2026-inference,kodatirevanth/birdclef2026-inference
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,konbu17__bird26-wliilamsam-0943-with-train-audio-head,konbu17/bird26-wliilamsam-0943-with-train-audio-head
3,competitions|datasets|models,0,,2,kospintr/birdclef-animal-images|kospintr/birdclef-perch-emb,2,google/bird-vocalization-classifier|kospintr/birdclef,birdclef-2026,kospintr__birdclef-efficientnet-perch-distill-mixup,kospintr/birdclef-efficientnet-perch-distill-mixup
3,competitions|datasets|models,0,,2,kospintr/birdclef-animal-images|kospintr/birdclef-perch-emb,2,google/bird-vocalization-classifier|kospintr/birdclef,birdclef-2026,kospintr__birdclef-efficientnet-perch-distill-pytorch,kospintr/birdclef-efficientnet-perch-distill-pytorch
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,kosuke123__birdclef-2026-mattia-hgnet-v4-clean,kosuke123/birdclef-2026-mattia-hgnet-v4-clean
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,kotata0306__birdclef-2026-youssef-lb0948-base,kotata0306/birdclef-2026-youssef-lb0948-base
2,competitions|models,0,,0,,1,google/bird-vocalization-classifier,birdclef-2026,koushikkumardinda__pantanal-soundscape-multi-label-avian,koushikkumardinda/pantanal-soundscape-multi-label-avian
4,competitions|datasets|models|perch-meta,0,,1,dingjiarun/birds-train2,1,google/bird-vocalization-classifier,birdclef-2026,koushikrudra__0-928-winner-position,koushikrudra/0-928-winner-position
3,birdclef2026|competitions|datasets,0,,1,krist0phersmith/birdclef2026-model,0,,birdclef-2026,krist0phersmith__birdclef-2026-ensemble-inference,krist0phersmith/birdclef-2026-ensemble-inference
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,kruzzcc__bc26-claude-r0947-birdnet,kruzzcc/bc26-claude-r0947-birdnet
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,kruzzcc__bc26-claude-umap-bn-b,kruzzcc/bc26-claude-umap-bn-b
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,kruzzcc__bc26-convnext-v3r3-auc27-a03,kruzzcc/bc26-convnext-v3r3-auc27-a03
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,kruzzcc__bc26-mtoshi-0947-birdnet,kruzzcc/bc26-mtoshi-0947-birdnet
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,kruzzcc__bc26-mtoshi-umap-bn-a,kruzzcc/bc26-mtoshi-umap-bn-a
5,competitions|datasets|models|notebooks|perch-meta,2,ashok205/tf-wheels|vyankteshdwivedi/notebook1b25083f0d,6,hideyukizushi/sgkfk-202604041716|jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|tuckerarrants/bc2026-distilled-sed-public|tuckerarrants/birdclef-2026-waveform-cache|tuckerarrants/perch-v2-no-dft-onnx,1,google/bird-vocalization-classifier,birdclef-2026,kruzzcc__bc26-raunak-deep-dyn-bn,kruzzcc/bc26-raunak-deep-dyn-bn
1,notebooks,1,kushubhai/birdclef2k26,0,,0,,,kushubhai__birdclef26-preprocessing-2,kushubhai/birdclef26-preprocessing-2
4,birdclef-2026|birdclef2026|competitions|models,0,,0,,1,kylahcodes/checkpoint,birdclef-2026,kylahcodes__bird-clef-submission-piplines,kylahcodes/bird-clef-submission-piplines
1,competitions,0,,0,,0,,birdclef-2026,kylahcodes__birdclef-1a,kylahcodes/birdclef-1a
2,competitions|notebooks,2,lakhindarpal/birdclef-2026-training|packagemanager/pm-111932015-at-03-12-2026-04-24-10,0,,0,,birdclef-2026,lakhindarpal__birdclef-2026-inference,lakhindarpal/birdclef-2026-inference
4,competitions|datasets|models|notebooks,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,lakhindarpal__birdclef-2026-perch-inference,lakhindarpal/birdclef-2026-perch-inference
1,competitions,0,,0,,0,,birdclef-2026,lakhindarpal__birdclef-2026-training,lakhindarpal/birdclef-2026-training
1,competitions,0,,0,,0,,birdclef-2026,lalit7881__birdclef-2026,lalit7881/birdclef-2026
2,competitions|models,0,,0,,1,timm/tf-efficientnet,birdclef-2026,lalit7881__birdclef-2026-advanced-audio-classification,lalit7881/birdclef-2026-advanced-audio-classification
6,bc2026-distilled-sed|bc2026-distilled-sed-public|birdclef-2026|competitions|datasets|models,0,,3,rishikeshjani/perch-onnx-for-birdclef-2026|tuckerarrants/bc2026-distilled-sed-public|tuckerarrants/perch-v2-no-dft-onnx,1,google/bird-vocalization-classifier,birdclef-2026,ldausl__birdclef-2026,ldausl/birdclef-2026
2,competitions|datasets,0,,1,lihaoweicvch/tinykaggleclaw-output,0,,birdclef-2026,lihaoweicvch__tinykaggleclaw-baseline,lihaoweicvch/tinykaggleclaw-baseline
6,competitions|datasets|google|models|notebooks|perch-protossm-ext33-artifacts,1,ashok205/tf-wheels,3,lingyu07/external-audio-unified-allwav-20260408|lingyu07/perch-protossm-ext33-artifacts|rishikeshjani/perch-onnx-for-birdclef-2026,2,google/bird-vocalization-classifier|google/yamnet,birdclef-2026,lingyu07__0-928-perch-yamnet-fast-blend,lingyu07/0-928-perch-yamnet-fast-blend
2,competitions|datasets,0,,1,venkatkumar001/birdclef26-audio2mel-spectrograms,0,,birdclef-2026,lingyu07__birdclef-2026-convnext-finetune,lingyu07/birdclef-2026-convnext-finetune
